models_filename;type_model;windows;dim_emb;tag_mse
glove_3_200.kv;glove;3;200;0.1245410635487227
cbow_9_5.kv;cbow;9;5;0.0827434466754701
cbow_3_10.kv;cbow;3;10;0.05913253161789
skipgram_2_1.kv;skipgram;2;1;0.3777859619875582
skipgram_7_60.kv;skipgram;7;60;0.1540846922662171
cbow_9_10.kv;cbow;9;10;0.071829422380298
skipgram_10_60.kv;skipgram;10;60;0.1518792907199924
cbow_5_220.kv;cbow;5;220;0.1320340781006195
cbow_10_20.kv;cbow;10;20;0.0833994237547361
glove_9_60.kv;glove;9;60;0.1304311257312862
cbow_3_100.kv;cbow;3;100;0.0997926592724267
glove_2_200.kv;glove;2;200;0.1245755883389355
cbow_8_40.kv;cbow;8;40;0.0978619477576781
skipgram_6_1.kv;skipgram;6;1;0.2103271535299395
skipgram_4_120.kv;skipgram;4;120;0.1592297948045213
glove_10_240.kv;glove;10;240;0.1241665764726441
glove_3_240.kv;glove;3;240;0.1241610485271235
glove_6_15.kv;glove;6;15;0.155416003718591
glove_7_200.kv;glove;7;200;0.1245620601801361
cbow_4_10.kv;cbow;4;10;0.0610624383695038
skipgram_8_15.kv;skipgram;8;15;0.1433677142574282
glove_15_220.kv;glove;15;220;0.124349625017127
cbow_2_300.kv;cbow;2;300;0.1054583632438602
glove_9_40.kv;glove;9;40;0.1345688897471679
skipgram_6_120.kv;skipgram;6;120;0.1587949003094712
cbow_5_180.kv;cbow;5;180;0.1273495119175414
skipgram_6_40.kv;skipgram;6;40;0.1526246492294126
glove_8_10.kv;glove;8;10;0.1721133747629415
glove_6_120.kv;glove;6;120;0.1262359180906699
skipgram_2_200.kv;skipgram;2;200;0.1559436093842832
skipgram_6_300.kv;skipgram;6;300;0.1608065186415805
skipgram_3_200.kv;skipgram;3;200;0.1607131445768999
glove_10_20.kv;glove;10;20;0.1471032653480216
skipgram_15_300.kv;skipgram;15;300;0.1553834022680822
cbow_15_280.kv;cbow;15;280;0.1473959340759847
cbow_5_15.kv;cbow;5;15;0.0674529763613041
glove_15_140.kv;glove;15;140;0.1256263907916242
cbow_6_60.kv;cbow;6;60;0.1038045642556025
cbow_4_60.kv;cbow;4;60;0.0947595742130763
skipgram_2_10.kv;skipgram;2;10;0.0981987169334372
cbow_9_180.kv;cbow;9;180;0.1347225652362803
skipgram_15_5.kv;skipgram;15;5;0.1345897666625655
skipgram_8_160.kv;skipgram;8;160;0.1571785110846931
glove_6_140.kv;glove;6;140;0.1256875891242352
cbow_10_240.kv;cbow;10;240;0.1424055152834787
skipgram_8_180.kv;skipgram;8;180;0.1576436440413158
cbow_7_20.kv;cbow;7;20;0.0793935580159274
cbow_7_60.kv;cbow;7;60;0.1066035424272999
cbow_2_120.kv;cbow;2;120;0.0857881154388829
glove_5_60.kv;glove;5;60;0.1304384389128752
glove_3_10.kv;glove;3;10;0.1721780475819098
glove_10_160.kv;glove;10;160;0.1251924760917307
glove_15_80.kv;glove;15;80;0.1283653554734932
glove_9_1.kv;glove;9;1;0.6220725336233459
skipgram_2_260.kv;skipgram;2;260;0.1578075790715343
cbow_9_140.kv;cbow;9;140;0.1311478716538322
glove_8_60.kv;glove;8;60;0.1304134606965686
skipgram_9_220.kv;skipgram;9;220;0.1573077266143949
glove_4_140.kv;glove;4;140;0.1256462312570251
cbow_7_5.kv;cbow;7;5;0.0802602125569767
skipgram_9_60.kv;skipgram;9;60;0.1529142644152541
skipgram_4_200.kv;skipgram;4;200;0.1612305525364317
cbow_5_100.kv;cbow;5;100;0.1135371756470455
cbow_7_10.kv;cbow;7;10;0.0688546229740793
glove_15_100.kv;glove;15;100;0.1270744378899709
skipgram_7_140.kv;skipgram;7;140;0.1576951653554822
glove_15_280.kv;glove;15;280;0.1238552608279282
glove_2_220.kv;glove;2;220;0.12435849369292763
glove_15_10.kv;glove;15;10;0.1720776793024244
glove_7_15.kv;glove;7;15;0.15545010305874368
cbow_4_15.kv;cbow;4;15;0.06439545040883767
